degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme,id,course_id,program_code,institution_name,2015,2016,2017,2018,2019,2020,2021
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),147,15,1082115,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,35.061,36.874,33.847,33.065,35.165,35.965,34.082
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),148,15,1093115,UNIVERSITY OF EMBU,35.271,23.174,25.988,23.676,24.946,24.12,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),149,15,1105115,CHUKA UNIVERSITY,33.08,34.891,34.219,31.983,34.108,34.534,33.917
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),150,15,1108115,KIBABII UNIVERSITY,35.23,24.246,28.65,27.173,26.652,28.955,25.988
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),151,15,1111115,KENYATTA UNIVERSITY,44.268,42.779,41.958,41.559,42.442,41.828,42.474
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),152,15,1117115,PWANI UNIVERSITY,39.617,36.666,35.122,32.146,34.32,33.94,32.972
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),153,15,1118115,UNIVERSITY OF KABIANGA,36.092,30.492,30.44,27.168,25.805,27.916,26.731
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),154,15,1165115,MAASAI MARA UNIVERSITY,36.228,32.17,30.43,29.185,29.649,30.669,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),155,15,1166115,SOUTH EASTERN KENYA UNIVERSITY,32.889,32.935,26.989,25.364,25.44,19.481,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),156,15,1169115,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,23.0,23.214,,25.045,,19.481,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),157,15,1170115,MACHAKOS UNIVERSITY,37.151,32.524,32.638,30.396,33.343,34.523,31.822
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),158,15,1229115,MASENO UNIVERSITY,40.245,39.079,36.051,34.28,36.696,36.506,36.045
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),159,15,1253115,MOI UNIVERSITY,43.519,40.713,39.311,38.579,40.064,40.392,39.701
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),160,15,1263115,UNIVERSITY OF NAIROBI,44.824,43.825,42.986,42.466,43.666,43.162,44.178
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),161,15,1500115,THE EAST AFRICAN UNIVERSITY,30.7,27.903,,24.767,24.886,19.481,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),162,15,1580115,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,,25.539,27.033,25.981,26.023,24.811,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),163,15,1600115,ALUPE UNIVERSITY COLLEGE,,27.368,27.377,26.79,26.79,19.481,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),164,15,1685115,THARAKA UNIVERSITY COLLEGE,,,24.652,24.548,24.631,19.481,19.223
BACHELOR OF SCIENCE IN COMPUTER TECHNOLOGY,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,MASENO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY),909,104,1240208,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,34.602,25.483,26.212,23.759,24.633,19.481,19.223
