degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme,id,course_id,program_code,institution_name,2015,2016,2017,2018,2019,2020,2021
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1040,128,1063232,TECHNICAL UNIVERSITY OF MOMBASA,33.707,32.726,31.332,26.393,29.609,30.755,30.552
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1041,128,1079232,KIRINYAGA UNIVERSITY,29.32,23.955,24.029,23.197,22.806,22.84,19.223
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1042,128,1080232,CO-OPERATIVE UNIVERSITY OF KENYA,,,23.858,27.416,28.503,30.748,32.1
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1043,128,1093232,UNIVERSITY OF EMBU,,25.752,23.934,23.091,23.166,23.11,22.49
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1044,128,1114232,UNIVERSITY OF ELDORET,34.424,33.345,29.281,30.586,31.599,30.303,29.468
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1045,128,1119232,AFRICA INTERNATIONAL UNIVERSITY,,23.264,,23.325,22.787,19.481,19.223
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1046,128,1164232,MULTIMEDIA UNIVERSITY OF KENYA,37.627,35.191,34.976,34.753,35.365,35.539,34.607
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1047,128,1173232,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,37.197,32.564,32.738,31.998,32.587,33.588,33.78
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1048,128,1192232,GREAT LAKES UNIVERSITY OF KISUMU,23.0,24.625,,22.681,,22.84,19.223
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1049,128,1240232,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,34.835,26.876,26.946,26.152,26.832,27.85,27.427
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1050,128,1244232,KARATINA UNIVERSITY,34.758,24.411,25.811,26.762,26.326,23.21,23.427
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1051,128,1246232,MURANGA UNIVERSITY OF TECHNOLOGY,27.705,24.665,22.922,24.447,24.105,26.526,26.873
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1052,128,1249232,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,42.126,40.296,39.044,39.224,39.861,39.638,37.337
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1053,128,1264232,PIONEER INTERNATIONAL UNIVERSITY,23.0,25.428,,23.96,21.495,19.481,19.223
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1054,128,1279232,MOUNT KENYA UNIVERSITY,23.0,24.897,27.504,29.669,31.506,33.113,32.755
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1055,128,1425232,ZETECH UNIVERSITY,23.0,23.251,,22.882,22.09,19.481,19.223
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,1056,128,1470232,KAIMOSI FRIENDS UNIVERSITY COLLEGE,23.0,23.522,,23.636,23.889,19.481,19.223
BACHELOR OF SCIENCE (BIOMETRY AND INFORMATICS),MAT A,PHY,BIO,BIO,,MAT A: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOMETRY AND INFORMATICS),1556,272,1087429,KISII UNIVERSITY,31.433,28.257,,22.608,24.19,19.481,
BACHELOR OF SCIENCE IN APPLIED COMPUTING,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),1459,246,1103388,KCA UNIVERSITY,,,,23.939,24.059,19.481,19.223
BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),1454,246,1105388,CHUKA UNIVERSITY,32.51,25.267,25.962,24.34,25.775,25.655,25.35
BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),1455,246,1685388,THARAKA UNIVERSITY COLLEGE,,,,26.289,26.404,19.481,19.223
BACHELOR OF ENGINEERING PHYSICS,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,2186,543,1105C29,CHUKA UNIVERSITY,,,,,,19.481,16.787
BACHELOR OF SCIENCE IN INFORMATION SECURITY AND FORENSICS,MAT A,PHY,BIO,BIO,MAT A: C+,,KCA UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION SECURITY AND FORENSICS,1696,337,1103511,KCA UNIVERSITY,,,,22.969,25.154,19.481,19.223
BACHELOR OF SCIENCE IN TEXTILE TECHNOLOGY & APPLIED FASHION DESIGN,CHE,MAT A,BIO,ENG,CHE: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (FASHION DESIGN AND TEXTILE TECHNOLOGY),973,113,1166217,SOUTH EASTERN KENYA UNIVERSITY,,,,,,16.791,17.459
BACHELOR OF SCIENCE IN APPLIED PHYSICS,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS,1677,327,1091498,TAITA TAVETA UNIVERSITY,,,,25.771,24.646,19.481,17.459
BACHELOR OF SCIENCE IN COMPUTING AND INFORMATION SYSTEMS,MAT A,PHY,BIO,BIO,MAT A: C+,,ST PAULS UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTING AND INFORMATION SYSTEMS,1929,425,1107614,ST PAULS UNIVERSITY,23.0,25.549,,24.006,23.717,19.481,19.223
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),66,8,1091108,TAITA TAVETA UNIVERSITY,,,,25.683,25.974,16.9,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),67,8,1105108,CHUKA UNIVERSITY,,,,27.535,29.977,26.089,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),68,8,1164108,MULTIMEDIA UNIVERSITY OF KENYA,39.86,35.421,34.837,31.004,32.133,27.464,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),69,8,1173108,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,38.764,33.985,34.277,31.042,31.551,25.925,16.787
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),70,8,1249108,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,41.346,38.86,36.619,36.192,34.268,32.013,25.786
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),130,14,1087114,KISII UNIVERSITY,30.877,31.971,26.212,24.797,25.634,16.9,16.787
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),131,14,1093114,UNIVERSITY OF EMBU,32.821,25.249,25.688,24.389,24.67,16.9,16.787
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),132,14,1246114,MURANGA UNIVERSITY OF TECHNOLOGY,,24.175,25.493,25.533,25.749,16.9,16.787
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),133,14,1263114,UNIVERSITY OF NAIROBI,,36.01,37.013,36.189,37.228,35.367,28.611
BACHELOR OF SCIENCE (FASHION DESIGN AND TEXTILE TECHNOLOGY),CHE,MAT A,BIO,ENG,CHE: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (FASHION DESIGN AND TEXTILE TECHNOLOGY),968,113,1073217,RONGO UNIVERSITY,23.0,20.419,,22.458,21.449,16.791,17.459
BACHELOR OF SCIENCE (FASHION DESIGN AND TEXTILE TECHNOLOGY),CHE,MAT A,BIO,ENG,CHE: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (FASHION DESIGN AND TEXTILE TECHNOLOGY),969,113,1079217,KIRINYAGA UNIVERSITY,23.0,21.161,,22.397,22.288,21.712,17.459
BACHELOR OF SCIENCE (FASHION DESIGN AND TEXTILE TECHNOLOGY),CHE,MAT A,BIO,ENG,CHE: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (FASHION DESIGN AND TEXTILE TECHNOLOGY),970,113,1181217,"UNIVERSITY OF EASTERN AFRICA, BARATON",26.938,22.052,,21.899,21.993,21.439,17.459
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),59,8,1082108,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,35.082,35.157,32.982,32.653,30.745,27.525,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),60,8,1087108,KISII UNIVERSITY,34.653,30.262,31.081,25.101,24.846,16.9,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),61,8,1093108,UNIVERSITY OF EMBU,34.771,23.928,24.01,23.784,23.501,16.9,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),62,8,1117108,PWANI UNIVERSITY,36.44,31.867,33.571,30.549,28.396,24.333,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),63,8,1246108,MURANGA UNIVERSITY OF TECHNOLOGY,,,25.862,26.922,26.141,16.9,16.787
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),64,8,1263108,UNIVERSITY OF NAIROBI,41.916,40.185,38.28,37.695,38.218,32.052,33.535
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),65,8,1279108,MOUNT KENYA UNIVERSITY,,24.103,26.595,28.604,24.916,24.359,16.787
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),57,8,1229108,MASENO UNIVERSITY,38.8,37.253,33.692,33.424,32.442,25.681,16.787
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),58,8,1515108,TOM MBOYA UNIVERSITY COLLEGE,,,,25.271,24.09,16.9,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),134,14,1079114,KIRINYAGA UNIVERSITY,,,,25.204,25.591,16.9,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),135,14,1091114,TAITA TAVETA UNIVERSITY,,,,25.056,26.716,16.9,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),136,14,1164114,MULTIMEDIA UNIVERSITY OF KENYA,31.852,33.743,33.651,30.959,30.685,26.712,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),137,14,1170114,MACHAKOS UNIVERSITY,,,24.608,25.065,25.485,16.9,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),138,14,1249114,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,37.654,37.036,34.915,34.708,34.101,24.192,25.969
"BACHELOR OF TECHNOLOGY IN WATER, IRRIGATION AND ENVIRONMENTAL ENGINEERING",MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,KIRINYAGA UNIVERSITY,"BACHELOR OF TECHNOLOGY IN WATER, IRRIGATION AND ENVIRONMENTAL ENGINEERING",710,71,1079173,KIRINYAGA UNIVERSITY,,,,27.382,25.816,16.9,16.787
BACHELOR OF SCIENCE IN PETROLEUM EXPLORATION AND PRODUCTION,MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (PETROLEUM CHEMISTRY),975,115,1279219,MOUNT KENYA UNIVERSITY,,23.972,27.079,27.636,27.125,16.9,17.459
BACHELOR OF SCIENCE (AGRICULTURAL ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURAL ENGINEERING),238,21,1057121,EGERTON UNIVERSITY,39.926,33.665,30.252,30.095,28.901,27.801,16.787
BACHELOR OF SCIENCE (AGRICULTURAL ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURAL ENGINEERING),239,21,1166121,SOUTH EASTERN KENYA UNIVERSITY,,,,,,16.9,16.787
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),139,14,1114114,UNIVERSITY OF ELDORET,28.043,33.102,33.025,29.751,29.251,16.9,16.787
BACHELOR OF SCIENCE IN COMPUTER SYSTEMS ENGINEERING,MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SYSTEMS ENGINEERING,1411,217,1079350,KIRINYAGA UNIVERSITY,,,,26.071,27.358,16.9,16.787
BACHELOR OF SCIENCE (MINING AND MINERAL PROCESSING ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (MINING PHYSICS),1408,216,1091349,TAITA TAVETA UNIVERSITY,25.34,26.468,27.979,29.294,28.165,16.9,16.787
BACHELOR OF SCIENCE (MINING AND MINERAL PROCESSING ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (MINING PHYSICS),1409,216,1249349,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,39.274,39.444,38.334,33.39,34.205,28.822,16.787
BACHELOR OF TECHNOLOGY IN APPLIED CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF TECHNOLOGY IN APPLIED CHEMISTRY,1550,269,1063426,TECHNICAL UNIVERSITY OF MOMBASA,28.505,22.402,25.055,25.343,25.749,16.9,16.787
BACHELOR OF EDUCATION TECHNOLOGY (COMPUTER STUDIES),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF EDUCATION TECHNOLOGY (COMPUTER STUDIES),1569,281,1082442,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,28.252,23.904,,25.319,24.927,16.9,16.787
BACHELOR OF EDUCATION TECHNOLOGY (COMPUTER STUDIES),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF EDUCATION TECHNOLOGY (COMPUTER STUDIES),1570,281,1570442,TURKANA UNIVERSITY COLLEGE,,,,,,,16.787
BACHELOR OF SCIENCE (MINING PHYSICS),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (MINING PHYSICS),2185,542,1105C28,CHUKA UNIVERSITY,,,,,,16.9,17.802
BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,MOI UNIVERSITY,BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION),1355,199,1114331,UNIVERSITY OF ELDORET,23.0,23.611,,24.846,24.141,16.9,16.787
BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,MOI UNIVERSITY,BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION),1356,199,1246331,MURANGA UNIVERSITY OF TECHNOLOGY,,,25.871,,,,
BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,MOI UNIVERSITY,BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION),1357,199,1253331,MOI UNIVERSITY,28.38,23.273,24.098,23.852,24.356,16.9,16.787
BACHELOR OF SCIENCE (RENEWABLE ENERGY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY),1745,350,1087525,KISII UNIVERSITY,23.0,22.765,,26.473,26.55,16.9,16.787
BACHELOR OF SCIENCE (RENEWABLE ENERGY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY),1746,350,1570525,TURKANA UNIVERSITY COLLEGE,,,,23.611,,,
BACHELOR OF SCIENCE (ELECTRONICS),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (ELECTRONICS),1680,330,1166502,SOUTH EASTERN KENYA UNIVERSITY,33.151,23.353,24.509,24.605,24.801,16.9,16.787
BACHELOR OF SCIENCE IN APPLIED OPTICS AND LASERS,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN APPLIED OPTICS AND LASERS,1848,384,1164567,MULTIMEDIA UNIVERSITY OF KENYA,27.733,27.444,24.805,24.98,25.177,25.548,16.787
BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY),1748,351,1108526,KIBABII UNIVERSITY,23.0,21.544,27.083,25.227,23.657,16.9,16.787
BACHELOR OF ENGINEERING (INDUSTRIAL AND TEXTILE ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,MOI UNIVERSITY,BACHELOR OF ENGINEERING (INDUSTRIAL AND TEXTILE ENGINEERING),1914,416,1253600,MOI UNIVERSITY,37.603,31.195,30.29,29.907,29.688,16.9,16.787
BACHELOR OF TECHNOLOGY IN RENEWABLE ENERGY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY),2174,532,1079B81,KIRINYAGA UNIVERSITY,,,,25.946,25.346,16.9,16.787
BACHELOR OF SCIENCE (PETROLEUM CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (PETROLEUM CHEMISTRY),1858,393,1087576,KISII UNIVERSITY,33.964,,25.684,26.769,27.467,16.9,16.787
BACHELOR OF TECHNOLOGY IN RENEWABLE ENERGY & ENVIRONMENTAL PHYSICS,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY),2173,531,1063B80,TECHNICAL UNIVERSITY OF MOMBASA,23.0,24.93,24.788,25.57,26.126,16.9,16.787
BACHELOR OF SCIENCE (RENEWABLE ENERGY TECHNOLOGY AND MANAGEMENT),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (RENEWABLE ENERGY TECHNOLOGY AND MANAGEMENT),1949,434,1053626,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,23.0,32.987,,25.319,30.309,16.9,16.787
BACHELOR OF TECHNOLOGY (CHEMICAL ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,KIRINYAGA UNIVERSITY,BACHELOR OF TECHNOLOGY (CHEMICAL ENGINEERING),2081,490,1079699,KIRINYAGA UNIVERSITY,,,,,,16.9,16.787
BACHELOR OF TECHNOLOGY (CHEMICAL ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,KIRINYAGA UNIVERSITY,BACHELOR OF TECHNOLOGY (CHEMICAL ENGINEERING),2082,490,1112699,TECHNICAL UNIVERSITY OF KENYA,,29.261,31.6,33.916,36.247,28.344,27.165
BACHELOR OF SCIENCE IN RENEWABLE ENERGY TECHNOLOGY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY),1952,435,1570627,TURKANA UNIVERSITY COLLEGE,,,,24.167,28.557,16.9,16.787
BACHELOR OF SCIENCE IN TELECOMMUNICATION,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KABARAK UNIVERSITY,BACHELOR OF SCIENCE IN TELECOMMUNICATION,2083,491,1061707,KABARAK UNIVERSITY,27.573,22.886,26.333,24.892,25.127,16.9,16.787
BACHELOR OF SCIENCE IN TELECOMMUNICATION,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KABARAK UNIVERSITY,BACHELOR OF SCIENCE IN TELECOMMUNICATION,2084,491,1170707,MACHAKOS UNIVERSITY,,27.339,25.202,24.822,26.229,16.9,16.787
