degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme
BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT
BACHELOR OF SCIENCE (ENTREPRENEURSHIP STUDIES),ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
BACHELOR OF SCIENCE (ENTREPRENEURSHIP),ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
BACHELOR OF ENTREPRENUERSHIP & SMALL BUSINESS MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
BACHELOR OF SCIENCE IN ENTREPRENEURSHIP,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
BACHELOR OF SCIENCE (PROJECT PLANNING AND MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (PROJECT PLANNING AND MANAGEMENT)
BACHELOR OF PROJECT PLANNING AND MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (PROJECT PLANNING AND MANAGEMENT)
BACHELOR OF ENTREPRENUERSHIP AND ENTERPRISE MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
BACHELOR OF SCIENCE (PROJECT PLANNING MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (PROJECT PLANNING AND MANAGEMENT)
BACHELOR OF ENTREPRENUERSHIP AND MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
"BACHELOR OF BUSINESS ENTREPRENEURSHIP , WITH IT",ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
BACHELOR OF HOTEL MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF CATERING AND HOSPITALITY MANAGEMENT
BACHELOR OF PROJECT MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (PROJECT PLANNING AND MANAGEMENT)
BACHELOR OF CATERING AND HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF CATERING AND HOSPITALITY MANAGEMENT
BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (STRATEGIC MANAGEMENT)
BACHELOR OF TECHNOLOGY (INSTITUTIONAL MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF CATERING AND HOSPITALITY MANAGEMENT
BACHELOR OF CO-OPERATIVE MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF CO-OPERATIVES AND COMMUNITY DEVELOPMENT
BACHELOR OF SCIENCE IN CO-OPERATIVE  AND ENTREPRENEURSHIP MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF CO-OPERATIVES AND COMMUNITY DEVELOPMENT
BACHELOR OF CO-OPERATIVES AND COMMUNITY DEVELOPMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF CO-OPERATIVES AND COMMUNITY DEVELOPMENT
BACHELOR OF SCIENCE IN HEALTH RECORDS MANAGEMENT & INFORMATICS,ENG,MAT A,BIO,BIO,MAT A: C,,RONGO UNIVERSITY,BACHELOR OF SCIENCE (HEALTH RECORDS AND INFORMATICS)
BACHELOR OF SCIENCE (HEALTH RECORDS AND INFORMATICS),ENG,MAT A,BIO,BIO,MAT A: C,,RONGO UNIVERSITY,BACHELOR OF SCIENCE (HEALTH RECORDS AND INFORMATICS)
BACHELOR OF BUSINESS LEADERSHIP,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF BUSINESS MANAGEMENT
BACHELOR OF SCIENCE(BUSINESS INFORMATION SYSTEMS),ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY
BACHELOR OF SCIENCE (INFORMATION SYSTEMS),ENG,MAT A,BIO,BIO,MAT A: C,,MASENO UNIVERSITY,BACHELOR OF SCIENCE (INFORMATION SYSTEMS)
"BACHELOR OF ARTS (BUSINESS STUDIES, WITH IT)",ENG,MAT A,BIO,BIO,MAT A: C,,TOM MBOYA UNIVERSITY COLLEGE,"BACHELOR OF ARTS (BUSINESS STUDIES, WITH IT)"
BACHELOR OF SCIENCE (FOOD SERVICE AND HOSPITALITY MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (FOOD SERVICE AND HOSPITALITY MANAGEMENT)
BACHELOR OF SCIENCE IN HEALTH SYSTEMS MANAGEMENT AND ECONOMICS,ENG,MAT A,BIO,BIO,MAT A: C,,AMREF INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN HEALTH SYSTEMS MANAGEMENT
BACHELOR OF SCIENCE IN INTERNATIONAL BUSINESS MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR IN BUSINESS ADMINISTRATION
BACHELOR OF CO-OPERATIVE BUSINESS,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF CO-OPERATIVE BUSINESS
BACHELOR OF SCIENCE ( HEALTH RECORDS AND INFORMATION MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,RONGO UNIVERSITY,BACHELOR OF SCIENCE (HEALTH RECORDS AND INFORMATICS)
BACHELOR OF SCIENCE IN HEALTH SYSTEMS MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AMREF INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN HEALTH SYSTEMS MANAGEMENT
BACHELOR OF SCIENCE (HEALTH RECORDS AND INFORMATION TECHNOLOGY),ENG,MAT A,BIO,BIO,MAT A: C,,RONGO UNIVERSITY,BACHELOR OF SCIENCE (HEALTH RECORDS AND INFORMATICS)
BACHELOR OF BUSINESS INFORMATION AND MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF BUSINESS MANAGEMENT
BACHELOR OF TOURISM AND TRAVEL MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF TOURISM AND TRAVEL MANAGEMENT
"BACHELOR OF SCIENCE IN ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT",ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF CATERING AND HOSPITALITY MANAGEMENT
BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT),ENG,MAT A,BIO,KIS,ENG: C,MAT A: D+,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT)
BACHELOR OF SCIENCE (HOSPITALITY MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT
"BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION, WITH IT)",ENG,MAT A,BIO,KIS,ENG: C,MAT A: D+,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT)
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),ENG,MAT A,BIO,KIS,ENG: C,MAT A: D+,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT)
BACHELOR OF SCIENCE IN TRAVEL AND TOURISM MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF TOURISM AND TRAVEL MANAGEMENT
BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT),ENG,MAT A,BIO,KIS,ENG: C,MAT A: D+,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT)
BACHELOR OF ACTUARIAL SCIENCE,MAT A,BIO,HAG,BIO,MAT A: C+,,GARISSA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)
BACHELOR OF EDUCATION (EARLY CHILDHOOD AND PRIMARY EDUCATION),ENG,MAT A,BIO,KIS,ENG: C,MAT A: D+,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT)
BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT EDUCATION),ENG,MAT A,BIO,KIS,ENG: C,MAT A: D+,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT)
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),MAT A,BIO,HAG,BIO,MAT A: C+,,GARISSA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)
"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",MAT A,BIO,HAG,BIO,MAT A: C+,,GARISSA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE)
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",MAT A,BIO,HAG,BIO,MAT A: C+,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN MATHEMATICS
BACHELOR OF SCIENCE IN MATHEMATICS,MAT A,BIO,HAG,BIO,MAT A: C+,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN MATHEMATICS
BACHELOR OF SCIENCE (MATHEMATICS),MAT A,BIO,HAG,BIO,MAT A: C+,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN MATHEMATICS
BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING),MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING)
BACHELOR OF SCIENCE IN ECONOMICS,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF ECONOMICS,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF SCIENCE (APPLIED STATISTICS WITH COMPUTING),MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING)
BACHELOR OF SCIENCE STATISTICS,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING)
BACHELOR OF SCIENCE (STATISTICS),MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING)
"BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)",MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING)
BACHELOR OF SCIENCE (APPLIED STATISTICS),MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING)
BACHELOR OF SCIENCE IN APPLIED STATISTICS WITH COMPUTING,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING)
BACHELOR OF SCIENCE IN APPLIED STATISTICS,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING)
BACHELOR OF SCIENCE (MATHEMATICS & COMPUTER SCIENCE),MAT A,BIO,HAG,BIO,MAT A: C+,,KENYA METHODIST UNIVERSITY,BACHELOR OF SCIENCE IN MATHEMATICS AND COMPUTER SCIENCE
BACHELOR OF SCIENCE (MATHEMATICS AND COMPUTER SCIENCE),MAT A,BIO,HAG,BIO,MAT A: C+,,KENYA METHODIST UNIVERSITY,BACHELOR OF SCIENCE IN MATHEMATICS AND COMPUTER SCIENCE
BACHELOR OF ARTS (ECONOMICS & SOCIOLOGY),MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF SCIENCE IN MATHEMATICS AND COMPUTER SCIENCE,MAT A,BIO,HAG,BIO,MAT A: C+,,KENYA METHODIST UNIVERSITY,BACHELOR OF SCIENCE IN MATHEMATICS AND COMPUTER SCIENCE
BACHELOR OF SCIENCE (MATHEMATICS WITH COMPUTING),MAT A,BIO,HAG,BIO,MAT A: C+,,KENYA METHODIST UNIVERSITY,BACHELOR OF SCIENCE IN MATHEMATICS AND COMPUTER SCIENCE
BACHELOR OF ARTS (ECONOMICS AND SOCIOLOGY),MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF SCIENCE (INDUSTRIAL MATHEMATICS),MAT A,BIO,HAG,BIO,MAT A: C+,,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (INDUSTRIAL MATHEMATICS)
BACHELOR OF ECONOMICS & STATISTICS,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF ARTS (HISTORY & ECONOMICS),MAT A,BIO,HAG,BIO,MAT A: C+,,CHUKA UNIVERSITY,BACHELOR OF ARTS IN HISTORY AND ECONOMICS
BACHELOR OF ECONOMICS AND STATISTICS,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF SCIENCE (ECONOMICS & STATISTICS),MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF SCIENCE (ECONOMICS AND STATISTICS),MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF ARTS IN HISTORY AND ECONOMICS,MAT A,BIO,HAG,BIO,MAT A: C+,,CHUKA UNIVERSITY,BACHELOR OF ARTS IN HISTORY AND ECONOMICS
BACHELOR OF SCIENCE IN FINANCIAL ECONOMICS,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF SCIENCE (OPERATIONS RESEARCH),MAT A,BIO,HAG,BIO,MAT A: C+,,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (OPERATIONS RESEARCH)
BACHELOR OF SCIENCE DATA SCIENCE,MAT A,BIO,HAG,BIO,MAT A: C+,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN MATHEMATICS
BACHELOR OF SCIENCE (FINANCIAL ENGINEERING),MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF SCIENCE (MATHEMATICS WITH  IT),MAT A,BIO,HAG,BIO,MAT A: C+,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN MATHEMATICS
BACHELOR OF SCIENCE (FINANCE),MAT A,BIO,HAG,BIO,MAT A: C+,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (FINANCE)
BACHELOR OF SCIENCE IN MATHEMATICS AND FINANCE,MAT A,BIO,HAG,BIO,MAT A: C+,,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF SCIENCE IN MATHEMATICS AND FINANCE
BACHELOR OF SCIENCE IN FINANCE,MAT A,BIO,HAG,BIO,MAT A: C+,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (FINANCE)
"BACHELOR OF SCIENCE (MATHEMATICS & ECONOMICS, WITH IT",MAT A,BIO,HAG,BIO,MAT A: C+,,CHUKA UNIVERSITY,BACHELOR OF ARTS IN MATHEMATICS AND ECONOMICS
BACHELOR OF ECONOMICS & FINANCE,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF SCIENCE IN ECONOMICS AND MATHEMATICS,MAT A,BIO,HAG,BIO,MAT A: C+,,CHUKA UNIVERSITY,BACHELOR OF ARTS IN MATHEMATICS AND ECONOMICS
BACHELOR OF SCIENCE (MATHEMATICS AND ECONOMICS),MAT A,BIO,HAG,BIO,MAT A: C+,,CHUKA UNIVERSITY,BACHELOR OF ARTS IN MATHEMATICS AND ECONOMICS
BACHELOR OF BUSINESS ADMINISTRATION IN FINANCE,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF ARTS IN MATHEMATICS AND ECONOMICS,MAT A,BIO,HAG,BIO,MAT A: C+,,CHUKA UNIVERSITY,BACHELOR OF ARTS IN MATHEMATICS AND ECONOMICS
BACHELOR OF ECONOMICS AND FINANCE,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
"BACHELOR OF SCIENCE (MATHEMATICS & BUSINESS STUDIES, WITH IT)",MAT A,BIO,HAG,BIO,MAT A: C+,,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (MATHEMATICS & BUSINESS STUDIES, WITH IT)"
BACHELOR OF SCIENCE IN FINANCE AND STATISTICS,MAT A,BIO,HAG,BIO,MAT A: C+,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (FINANCE)
BACHELOR OF BUSINESS ADMINISTRATION IN ACCOUNTING,MAT A,BIO,HAG,BIO,MAT A: C+,ENG: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS ADMINISTRATION IN ACCOUNTING
"BACHELOR OF ARTS (ECONOMICS, WITH IT)",MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BA in Biblical Studies,CRE,ENG,HAG,BIO,CRE: C+,ENG: C,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,BA in Biblical Studies
BA in Church Educational Ministries,CRE,ENG,HAG,BIO,CRE: C+,ENG: C,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,BA in Church Educational Ministries
BACHELOR OF ARTS IN ECONOMICS,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF SCIENCE IN MATHEMATICS & PHYSICS,MAT A,BIO,HAG,BIO,MAT A: C+,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN MATHEMATICS
BACHELOR OF ARTS IN ECONOMICS AND BUSINESS STUDIES,MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BACHELOR OF ARTS (RELIGIOUS STUDIES),CRE,ENG,HAG,BIO,CRE: C+,ENG: C,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF ARTS (RELIGIOUS STUDIES)
BACHELOR OF ARTS (ECONOMICS),MAT A,BIO,HAG,BIO,MAT A: C+,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF ARTS (ECONOMICS)
BA in Inter-Cultural Studies,CRE,ENG,HAG,BIO,CRE: C+,ENG: C,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,BA in Inter-Cultural Studies
BACHELOR OF ARTS IN PASTORAL THEOLOGY,CRE,ENG,HAG,BIO,CRE: C+,ENG: C,INTERNATIONAL LEADERSHIP UNIVERSITY,BACHELOR OF THEOLOGY
BACHELOR OF THEOLOGY,CRE,ENG,HAG,BIO,CRE: C+,ENG: C,INTERNATIONAL LEADERSHIP UNIVERSITY,BACHELOR OF THEOLOGY
BACHELOR OF DIVINITY,CRE,ENG,HAG,BIO,CRE: C+,ENG: C,INTERNATIONAL LEADERSHIP UNIVERSITY,BACHELOR OF THEOLOGY
BACHELOR OF ARTS IN THEOLOGY,CRE,ENG,HAG,BIO,CRE: C+,ENG: C,INTERNATIONAL LEADERSHIP UNIVERSITY,BACHELOR OF THEOLOGY
BACHELOR OF THEOLOGY IN PASTORAL THEOLOGY,CRE,ENG,HAG,BIO,CRE: C+,ENG: C,INTERNATIONAL LEADERSHIP UNIVERSITY,BACHELOR OF THEOLOGY
BACHELOR OF ARTS IN BIBLE AND THEOLOGY,CRE,ENG,HAG,BIO,CRE: C+,ENG: C,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,BA in Biblical Studies
BACHELOR OF CHRISTIAN EDUCATION,CRE,ENG,HAG,BIO,CRE: C+,ENG: C,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,BA in Church Educational Ministries
BACHELOR OF ARTS IN ISLAMIC STUDIES ,CRE,ENG,HAG,BIO,IRE: C+,,PWANI UNIVERSITY,BACHELOR OF ARTS IN ISLAMIC STUDIES 
BACHELOR OF ARTS IN ISLAMIC SHARIA,CRE,ENG,HAG,BIO,IRE: C+,,PWANI UNIVERSITY,BACHELOR OF ARTS IN ISLAMIC STUDIES 
BACHELOR OF SCIENCE (AGRICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN AGRICULTURE
BACHELOR OF SCIENCE IN FOOD SCIENCE AND TECHNOLOGY,BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY)
BACHELOR OF SCIENCE IN FOOD TECHNOLOGY & QUALITY ASSURANCE,BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY)
BACHELOR OF SCIENCE (RANGE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (RANGE MANAGEMENT)
BACHELOR OF SCIENCE IN AGRICULTURE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN AGRICULTURE
BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY)
BACHELOR OF SCIENCE (WILDLIFE ENTERPRISES & MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT)
BACHELOR OF SCIENCE (FOOD SCIENCE AND TECHNOLOGY),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY)
BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT)
BACHELOR OF SCIENCE (WILDLIFE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT)
BACHELOR OF SCIENCE (WILDLIFE MANAGEMENT AND CONSERVATION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT)
BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT)
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE)
BACHELOR OF SCIENCE HORTICULTURE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE)
BACHELOR OF SCIENCE (HORTICULTURAL SCIENCE & MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE)
"BACHELOR OF SCIENCE (HORTICULTURE, WITH IT)",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE)
BACHELOR OF SCIENCE IN MANAGEMENT OF AGRI. ECOSYSTEMS,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT 
BACHELOR OF SCIENCE IN HORTICULTURAL SCIENCE & MANAGEMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE)
BACHELOR OF SCIENCE(HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE)
